Genome	Division	nhr_file	nin_file	nsq_file
Pristionchus_pacificus	Invertebrate metazoa	<a href='LIRBase_blastdb/Pristionchus_pacificus.nhr' target='_blank'>Pristionchus_pacificus.nhr</a>	<a href='LIRBase_blastdb/Pristionchus_pacificus.nin' target='_blank'>Pristionchus_pacificus.nin</a>	<a href='LIRBase_blastdb/Pristionchus_pacificus.nsq' target='_blank'>Pristionchus_pacificus.nsq</a>
Rhodnius_prolixus	Invertebrate metazoa	<a href='LIRBase_blastdb/Rhodnius_prolixus.nhr' target='_blank'>Rhodnius_prolixus.nhr</a>	<a href='LIRBase_blastdb/Rhodnius_prolixus.nin' target='_blank'>Rhodnius_prolixus.nin</a>	<a href='LIRBase_blastdb/Rhodnius_prolixus.nsq' target='_blank'>Rhodnius_prolixus.nsq</a>
Sarcoptes_scabiei	Invertebrate metazoa	<a href='LIRBase_blastdb/Sarcoptes_scabiei.nhr' target='_blank'>Sarcoptes_scabiei.nhr</a>	<a href='LIRBase_blastdb/Sarcoptes_scabiei.nin' target='_blank'>Sarcoptes_scabiei.nin</a>	<a href='LIRBase_blastdb/Sarcoptes_scabiei.nsq' target='_blank'>Sarcoptes_scabiei.nsq</a>
Schistosoma_mansoni	Invertebrate metazoa	<a href='LIRBase_blastdb/Schistosoma_mansoni.nhr' target='_blank'>Schistosoma_mansoni.nhr</a>	<a href='LIRBase_blastdb/Schistosoma_mansoni.nin' target='_blank'>Schistosoma_mansoni.nin</a>	<a href='LIRBase_blastdb/Schistosoma_mansoni.nsq' target='_blank'>Schistosoma_mansoni.nsq</a>
Solenopsis_invicta	Invertebrate metazoa	<a href='LIRBase_blastdb/Solenopsis_invicta.nhr' target='_blank'>Solenopsis_invicta.nhr</a>	<a href='LIRBase_blastdb/Solenopsis_invicta.nin' target='_blank'>Solenopsis_invicta.nin</a>	<a href='LIRBase_blastdb/Solenopsis_invicta.nsq' target='_blank'>Solenopsis_invicta.nsq</a>
Stegodyphus_mimosarum	Invertebrate metazoa	<a href='LIRBase_blastdb/Stegodyphus_mimosarum.nhr' target='_blank'>Stegodyphus_mimosarum.nhr</a>	<a href='LIRBase_blastdb/Stegodyphus_mimosarum.nin' target='_blank'>Stegodyphus_mimosarum.nin</a>	<a href='LIRBase_blastdb/Stegodyphus_mimosarum.nsq' target='_blank'>Stegodyphus_mimosarum.nsq</a>
Strigamia_maritima	Invertebrate metazoa	<a href='LIRBase_blastdb/Strigamia_maritima.nhr' target='_blank'>Strigamia_maritima.nhr</a>	<a href='LIRBase_blastdb/Strigamia_maritima.nin' target='_blank'>Strigamia_maritima.nin</a>	<a href='LIRBase_blastdb/Strigamia_maritima.nsq' target='_blank'>Strigamia_maritima.nsq</a>
Strongylocentrotus_purpuratus	Invertebrate metazoa	<a href='LIRBase_blastdb/Strongylocentrotus_purpuratus.nhr' target='_blank'>Strongylocentrotus_purpuratus.nhr</a>	<a href='LIRBase_blastdb/Strongylocentrotus_purpuratus.nin' target='_blank'>Strongylocentrotus_purpuratus.nin</a>	<a href='LIRBase_blastdb/Strongylocentrotus_purpuratus.nsq' target='_blank'>Strongylocentrotus_purpuratus.nsq</a>
Strongyloides_ratti	Invertebrate metazoa	<a href='LIRBase_blastdb/Strongyloides_ratti.nhr' target='_blank'>Strongyloides_ratti.nhr</a>	<a href='LIRBase_blastdb/Strongyloides_ratti.nin' target='_blank'>Strongyloides_ratti.nin</a>	<a href='LIRBase_blastdb/Strongyloides_ratti.nsq' target='_blank'>Strongyloides_ratti.nsq</a>
Teleopsis_dalmanni	Invertebrate metazoa	<a href='LIRBase_blastdb/Teleopsis_dalmanni.nhr' target='_blank'>Teleopsis_dalmanni.nhr</a>	<a href='LIRBase_blastdb/Teleopsis_dalmanni.nin' target='_blank'>Teleopsis_dalmanni.nin</a>	<a href='LIRBase_blastdb/Teleopsis_dalmanni.nsq' target='_blank'>Teleopsis_dalmanni.nsq</a>
